#OTUId	18.SPF.CD	11.CON.HFD	20.SPF.HFD	24.SPF.HFD	2.CON.HFD	23.SPF.HFD	17.SPF.CD	1.CON.CD	3.CON.CD	13.SPF.CD	21.SPF.HFD	14.SPF.CD	16.SPF.CD	10.CON.HFD	12.CON.CD	15.SPF.CD	22.SPF.HFD	9.CON.CD	5.CON.CD	6.CON.HFD	8.CON.HFD	19.SPF.HFD	7.CON.CD	4.CON.HFD	taxonomy
OTU_10	802	1582	687	1427	886	1041	455	664	120	462	1960	522	1010	1352	631	583	1121	194	517	662	1153	966	757	723	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_22	159	596	257	395	138	437	168	124	25	121	1354	39	64	434	72	98	391	65	119	192	293	854	103	169	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_32	88	3	105	84	142	186	107	246	42	90	74	457	111	36	207	357	307	191	197	58	27	26	109	20	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;;;
OTU_286	244	380	22	121	261	57	202	68	1	184	256	29	75	355	23	116	249	59	26	168	257	187	60	156	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;
OTU_40	83	293	43	99	99	66	87	102	32	65	65	35	30	343	53	33	190	29	82	133	259	104	56	214	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_82	265	388	63	311	73	113	177	241	36	184	578	347	728	184	248	315	121	69	199	56	117	197	425	50	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_4	657	187	1594	926	98	1885	238	816	554	1318	362	317	546	308	995	328	1101	409	399	370	136	637	2277	212	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
OTU_18	315	149	37	60	118	46	332	536	104	236	210	425	301	65	287	618	107	88	518	110	84	75	352	185	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Clostridium IV;
OTU_29	120	621	126	164	334	58	78	60	20	49	338	29	148	392	55	53	122	27	52	457	718	342	62	750	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_20	471	368	568	116	892	534	191	37	142	319	29	165	180	520	299	193	242	448	65	1133	526	229	156	746	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
OTU_38	79	91	83	75	363	62	29	413	54	95	17	93	160	6	69	85	3	27	160	311	534	100	249	479	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;
OTU_423	211	1	153	357	0	155	276	0	0	234	468	1	334	0	0	279	174	0	0	0	1	764	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_17	536	799	0	0	582	1	395	28	155	437	0	0	0	659	165	0	0	270	261	466	350	0	12	352	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_26	331	100	52	80	78	67	205	248	139	293	17	164	55	79	261	178	30	479	343	181	116	22	413	58	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_65	43	0	2	0	0	1	137	65	26	40	17	45	37	0	0	104	67	0	149	0	0	21	30	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_47	206	394	161	314	300	310	175	100	44	127	320	94	265	262	56	106	228	34	106	196	361	263	124	277	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_85	63	65	47	82	71	58	55	68	27	26	59	32	61	38	23	22	40	2	70	46	66	21	59	54	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_53	52	43	46	97	57	64	75	108	12	42	74	70	99	53	39	88	48	21	85	31	54	49	52	38	Bacteria;Firmicutes;Clostridia;;;;
OTU_7	1070	952	631	272	1429	649	453	457	982	672	206	488	368	745	1038	687	432	1835	1032	1670	664	441	1086	877	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
OTU_41	63	79	34	279	85	78	143	14	4	59	399	126	222	87	13	142	181	7	18	25	38	91	22	124	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_8	83	151	173	115	131	163	71	3573	459	31	53	54	203	266	579	180	13	246	4110	48	42	64	3396	81	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_143	45	467	203	253	267	172	28	1	0	24	396	0	0	451	0	3	142	0	0	248	368	483	1	277	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_58	102	483	278	621	283	286	444	333	82	179	260	109	147	394	175	99	398	197	312	309	294	104	235	285	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_382	59	643	44	98	15	13	26	36	4	22	115	70	21	452	362	45	230	305	303	8	26	93	51	21	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Flavonifractor;
OTU_54	46	191	34	122	123	88	40	29	7	23	93	26	51	202	12	38	28	18	31	146	174	32	40	112	Bacteria;Firmicutes;Clostridia;Clostridiales;;;
OTU_5	44	0	122	0	1	0	2997	3064	2845	4217	0	2676	754	1	1	3766	0	0	2564	0	0	0	101	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
OTU_27	60	793	274	489	558	354	28	3	0	47	746	2	1	756	0	2	229	1	0	429	689	1002	1	480	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_67	27	7	41	18	24	45	17	149	21	13	6	36	7	9	42	88	11	16	31	39	14	44	122	15	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
OTU_64	66	14	11	13	63	7	119	126	40	95	19	46	80	9	25	55	14	28	131	18	40	7	104	17	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_51	45	67	13	71	23	19	49	218	68	27	157	127	122	47	66	62	36	18	300	29	26	85	306	48	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_56	16	209	33	67	61	86	22	42	22	7	62	12	9	129	9	5	21	21	71	51	134	129	24	75	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;
OTU_37	35	147	29	10	122	31	87	184	5	14	431	28	251	63	32	4	33	86	299	26	115	129	195	636	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum;
OTU_78	35	8	95	169	20	101	32	59	18	27	42	24	14	0	58	22	23	22	1	6	11	91	0	50	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_76	20	17	76	33	42	60	13	1	3	19	21	11	2	52	13	12	13	24	0	54	44	5	0	18	Bacteria;;;;;;
